	회사코드	회사명	업종코드	상장주식수	자본금	액면가	통화구분	대표전화	주소
1	060310	3S	32902	44802511	22401255500	500	원(KRW)	02-896-9474	서울특별시 금천구  시흥대로71길 30-1 
2	095570	AJ네트웍스	147603	46822295	46822295000	1000	원(KRW)	02-6363-9999	서울특별시 송파구 정의로8길 9 (문정동AJ빌딩)
3	006840	AK홀딩스	116409	13247561	66237805000	5000	원(KRW)	02-768-2923	서울특별시 마포구 양화로 188 - 
4	054620	APS홀딩스	116409	20394221	10197110500	500	원(KRW)	031-776-1800	경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면)
5	265520	AP시스템	32902	14480227	7240113500	500	원(KRW)	031-379-2700	경기도 화성시  동탄면 동탄산단8길 15-5 
6	211270	AP위성	32604	15014804	7507402000	500	원(KRW)	02-2026-7800	서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 
7	027410	BGF	116409	95716791	95716791000	1000		1577-3663	서울특별시 강남구 테헤란로 405 
8	282330	BGF리테일	74701	17283906	17283906000	1000	원(KRW)	02-1577-8007	서울특별시 강남구 테헤란로 405 BGF사옥
9	138930	BNK금융지주	116409	325935246	1629676230000	5000	원(KRW)	051-620-3023	부산광역시 남구 문현금융로 30(문현동) 
10	001460	BYC	31401	624615	4200000000	5000	원(KRW)	02-840-3175	서울특별시 영등포구 도림천로21길 3 
11	001040	CJ	116409	29176998	179047370000	5000	원(KRW)	02-726-8114	서울특별시 중구 소월로2길 12 (남대문로5가 CJ THE CENTER) 
12	079160	CJ CGV	105901	21161313	10580656500	500	원(KRW)	02-371-6660	서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) 
13	035760	CJ ENM	106002	21929154	110577370000	5000	원(KRW)	02-2107-0114	서울특별시 서초구  과천대로 870-13 
14	000120	CJ대한통운	84903	22812344	114061720000	5000	원(KRW)	02-3782-0114	서울특별시 중구  세종대로9길 53 
15	011150	CJ씨푸드	31007	35930773	18065386500	500	원(KRW)	031-730-9114	경기도 성남시 중원구  둔촌대로388번길 32 (상대원동)
16	097950	CJ제일제당	31007	15054186	81908095000	5000	원(KRW)	726-8114	서울특별시 중구  동호로 330 
17	051500	CJ프레시웨이	74603	11871586	11871586000	1000	원(KRW)	02-2149-6007	경기도 용인시 기흥구  기곡로 32  
18	058820	CMG제약	32102	138892244	69446122000	500	원(KRW)	02-3453-8816	서울특별시 강남구 도산대로66길 14 (청담동)
19	023460	CNH	116402	37200000	93000000000	2500	원(KRW)	02-3287-0700	경기도 부천시 원미구 상일로 120 411(상동송내리더스텔)
20	065770	CS	32604	18835150	9417575000	500	원(KRW)	031-622-3200	경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1)
21	083660	CSA 코스믹	32004	37072045	18536022500	500	원(KRW)	02-483-0077	서울특별시 강남구 학동로30길 20 -
22	000590	CS홀딩스	116409	1154482	5772410000	5000	원(KRW)	02-3459-9363	경상북도 포항시 남구 괴동로 43 (장흥동)
23	012030	DB	106201	201173933	100586966500	500	원(KRW)	02-2136-6000	서울특별시 강남구 삼성로96길 23 7층
24	322780	DB금융스팩7호	116601	4550000	455000000	100	원(KRW)	02-369-3974	서울특별시 영등포구 국제금융로8길 32 DB금융투자 
25	016610	DB금융투자	116601	42446389	212231945000	5000	원(KRW)	02-369-3000	서울특별시 영등포구 국제금융로8길 32 동부증권빌딩
26	005830	DB손해보험	116501	70800000	35400000000	500	원(KRW)	02-1588-0100	서울특별시 강남구  테헤란로 432 
27	000990	DB하이텍	32601	44398588	222554520000	5000	원(KRW)	02-3484-2888	경기도 부천시 수도로 90 (주)DB하이텍
28	139130	DGB금융지주	116409	169145833	845729165000	5000	원(KRW)	537407900	대구광역시 북구 옥산로 111 대구은행 제2본점 9층
29	068790	DMS	32902	23062487	11531243500	500	원(KRW)	031-8031-1133	경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동)
30	004840	DRB동일	116409	19930000	9965000000	500	원(KRW)	051-520-9000	부산광역시 금정구 공단동로55번길 28 
31	241520	DSC인베스트먼트	116402	18219383	9109691500	500	원(KRW)	02-3453-3190	서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층
32	155660	DSR	32402	16000000	8000000000	500	원(KRW)	02-3420-3591	부산광역시 강서구 녹산산업중로192번길 7 
33	069730	DSR제강	32401	14400000	7200000000	500	원(KRW)	061-752-0121	전라남도 순천시  서면 산단1길 15 
